name,year,date,pitch,whip,inning,fati
윤길현,2014,09-09,20,2.0,0.2,60.0
윤길현,2014,09-12,9,0.0,1.0,18.0
윤길현,2014,09-14,23,0.0,1.2,69.0
윤길현,2014,10-05,17,3.0,1.0,17.0
윤길현,2014,10-11,11,3.0,0.1,11.0
윤길현,2014,10-13,9,2.0,0.1,27.0
윤길현,2014,10-16,19,3.0,1.0,38.0
윤길현,2015,03-29,31,2.0,1.1,31.0
윤길현,2015,04-04,3,0.0,0.1,3.0
윤길현,2015,04-05,13,2.0,1.0,52.0
윤길현,2015,04-07,24,3.0,1.0,72.0
윤길현,2015,04-08,13,0.0,1.0,52.0
윤길현,2015,04-10,19,0.0,1.0,57.0
윤길현,2015,04-18,6,0.0,0.2,6.0
윤길현,2015,04-23,19,0.0,1.1,19.0
윤길현,2015,04-25,25,4.0,0.2,75.0
윤길현,2015,04-30,5,0.0,0.2,5.0
윤길현,2015,05-01,31,3.0,1.0,124.0
윤길현,2015,05-06,23,3.0,1.0,23.0
윤길현,2015,05-07,26,3.0,1.1,104.0
윤길현,2015,05-10,17,1.0,1.0,34.0
윤길현,2015,05-15,33,4.0,1.1,33.0
윤길현,2015,05-16,12,1.0,0.2,48.0
윤길현,2015,05-19,10,1.0,0.2,20.0
윤길현,2015,05-20,14,2.0,0.1,56.0
윤길현,2015,05-27,4,0.0,0.2,4.0
윤길현,2015,05-28,6,0.0,0.1,24.0
윤길현,2015,05-30,12,2.0,0.1,36.0
윤길현,2015,05-31,30,0.0,2.0,120.0
윤길현,2015,06-05,31,3.0,2.0,31.0
윤길현,2015,06-12,11,0.0,0.2,11.0
윤길현,2015,06-17,9,1.0,0.2,9.0
윤길현,2015,06-18,10,0.0,0.2,40.0
윤길현,2015,06-19,9,3.0,0.1,36.0
윤길현,2015,06-21,17,3.0,0.1,51.0
윤길현,2015,06-24,23,1.0,1.1,46.0
윤길현,2015,06-25,20,3.0,1.0,80.0
윤길현,2015,06-27,23,3.0,0.2,69.0
윤길현,2015,06-28,20,0.0,1.0,80.0
윤길현,2015,07-02,9,0.0,1.0,13.5
윤길현,2015,07-03,39,4.0,1.2,156.0
윤길현,2015,07-09,21,0.0,1.0,21.0
윤길현,2015,07-10,20,0.0,1.2,80.0
윤길현,2015,07-11,15,1.0,0.2,60.0
윤길현,2015,07-15,26,1.0,1.2,39.0
윤길현,2015,07-16,48,2.0,2.2,192.0
윤길현,2015,07-21,8,1.0,1.0,8.0
윤길현,2015,07-23,9,2.0,0.1,27.0
윤길현,2015,07-28,20,2.0,1.0,20.0
윤길현,2015,07-29,6,0.0,0.2,24.0
윤길현,2015,07-30,6,1.0,0.1,24.0
윤길현,2015,08-04,16,1.0,1.0,16.0
윤길현,2015,08-08,9,0.0,1.0,13.5
윤길현,2015,08-14,21,2.0,1.0,21.0
윤길현,2015,08-15,26,4.0,1.1,104.0
윤길현,2015,08-18,12,1.0,0.1,24.0
윤길현,2015,08-19,14,1.0,1.0,56.0
윤길현,2015,08-20,12,0.0,1.0,48.0
윤길현,2015,08-23,11,1.0,1.0,22.0
윤길현,2015,08-25,26,3.0,1.0,78.0
윤길현,2015,08-27,13,1.0,1.0,39.0
윤길현,2015,08-30,26,4.0,1.0,52.0
윤길현,2015,09-01,9,1.0,1.0,27.0
윤길현,2015,09-02,12,2.0,0.1,48.0
윤길현,2015,09-06,9,1.0,0.1,13.5
윤길현,2015,09-10,7,0.0,1.0,10.5
윤길현,2015,09-13,10,2.0,0.0,20.0
윤길현,2015,09-15,16,0.0,1.0,48.0
윤길현,2015,09-16,16,2.0,0.1,64.0
윤길현,2015,09-18,9,0.0,0.2,27.0
윤길현,2015,09-19,22,0.0,1.1,88.0
윤길현,2015,09-25,6,1.0,0.0,6.0
윤길현,2015,09-26,24,2.0,1.1,96.0
윤길현,2015,09-30,16,1.0,1.1,24.0
윤길현,2015,10-01,10,2.0,0.0,40.0
윤길현,2015,10-03,8,0.0,0.1,24.0
윤길현,2016,04-01,9,1.0,0.2,9.0
윤길현,2016,04-03,32,4.0,1.1,96.0
윤길현,2016,04-05,7,2.0,0.0,21.0
윤길현,2016,04-09,20,1.0,1.0,30.0
윤길현,2016,04-10,32,1.0,1.1,128.0
윤길현,2016,04-12,9,2.0,0.1,27.0
윤길현,2016,04-15,22,1.0,1.2,44.0
윤길현,2016,04-17,21,1.0,2.0,63.0
윤길현,2016,04-19,22,2.0,1.0,66.0
윤길현,2016,04-22,16,0.0,1.2,32.0
윤길현,2016,04-27,22,0.0,2.0,22.0
윤길현,2016,04-29,12,0.0,0.2,36.0
윤길현,2016,05-03,11,0.0,1.0,16.5
윤길현,2016,05-04,27,2.0,1.0,108.0
윤길현,2016,05-07,24,0.0,1.0,48.0
윤길현,2016,05-08,18,1.0,1.1,72.0
윤길현,2016,05-13,10,0.0,0.2,10.0
윤길현,2016,05-15,4,0.0,0.1,12.0
윤길현,2016,05-19,24,3.0,0.2,36.0
윤길현,2016,05-22,20,3.0,0.1,40.0
윤길현,2016,05-25,8,0.0,1.0,16.0
윤길현,2016,05-26,11,1.0,0.1,44.0
윤길현,2016,05-28,21,3.0,0.1,63.0
윤길현,2016,06-19,18,2.0,1.0,18.0
윤길현,2016,06-24,36,2.0,2.1,36.0
윤길현,2016,06-28,28,2.0,2.0,42.0
